,Date,Date_num,Gdp_growth,Stable_gov,Sensex,Gdp_band,Gdp_class,Bank_rate
0,3-April-1979,1,-5.2,0,124.15,"(-5.215, -1.36]",0,9
1,4-April-1979,2,-5.2,0,122.85,"(-5.215, -1.36]",0,9
2,6-April-1979,3,-5.2,0,123.52,"(-5.215, -1.36]",0,9
3,7-April-1979,4,-5.2,0,124.18,"(-5.215, -1.36]",0,9
4,9-April-1979,5,-5.2,0,124.3,"(-5.215, -1.36]",0,9
5,11-April-1979,6,-5.2,0,125.01,"(-5.215, -1.36]",0,9
6,12-April-1979,7,-5.2,0,125.93,"(-5.215, -1.36]",0,9
7,14-April-1979,8,-5.2,0,128.22,"(-5.215, -1.36]",0,9
8,17-April-1979,9,-5.2,0,126.24,"(-5.215, -1.36]",0,9
9,18-April-1979,10,-5.2,0,125.98,"(-5.215, -1.36]",0,9
10,19-April-1979,11,-5.2,0,126.14,"(-5.215, -1.36]",0,9
11,20-April-1979,12,-5.2,0,126.67,"(-5.215, -1.36]",0,9
12,21-April-1979,13,-5.2,0,126.75,"(-5.215, -1.36]",0,9
13,23-April-1979,14,-5.2,0,124.81,"(-5.215, -1.36]",0,9
14,24-April-1979,15,-5.2,0,124.67,"(-5.215, -1.36]",0,9
15,25-April-1979,16,-5.2,0,125.36,"(-5.215, -1.36]",0,9
16,26-April-1979,17,-5.2,0,125.78,"(-5.215, -1.36]",0,9
17,27-April-1979,18,-5.2,0,127.02,"(-5.215, -1.36]",0,9
18,2-May-1979,19,-5.2,0,126.73,"(-5.215, -1.36]",0,9
19,3-May-1979,20,-5.2,0,125.84,"(-5.215, -1.36]",0,9
20,4-May-1979,21,-5.2,0,125.8,"(-5.215, -1.36]",0,9
21,5-May-1979,22,-5.2,0,124.93,"(-5.215, -1.36]",0,9
22,7-May-1979,23,-5.2,0,124.77,"(-5.215, -1.36]",0,9
23,8-May-1979,24,-5.2,0,124.64,"(-5.215, -1.36]",0,9
24,9-May-1979,25,-5.2,0,123.12,"(-5.215, -1.36]",0,9
25,10-May-1979,26,-5.2,0,122.23,"(-5.215, -1.36]",0,9
26,11-May-1979,27,-5.2,0,122.63,"(-5.215, -1.36]",0,9
27,15-May-1979,28,-5.2,0,123.93,"(-5.215, -1.36]",0,9
28,16-May-1979,29,-5.2,0,124.59,"(-5.215, -1.36]",0,9
29,17-May-1979,30,-5.2,0,124.1,"(-5.215, -1.36]",0,9
30,18-May-1979,31,-5.2,0,124.41,"(-5.215, -1.36]",0,9
31,19-May-1979,32,-5.2,0,125.27,"(-5.215, -1.36]",0,9
32,21-May-1979,33,-5.2,0,125.99,"(-5.215, -1.36]",0,9
33,22-May-1979,34,-5.2,0,126.58,"(-5.215, -1.36]",0,9
34,23-May-1979,35,-5.2,0,124.58,"(-5.215, -1.36]",0,9
35,24-May-1979,36,-5.2,0,125.26,"(-5.215, -1.36]",0,9
36,25-May-1979,37,-5.2,0,125.19,"(-5.215, -1.36]",0,9
37,29-May-1979,38,-5.2,0,124.29,"(-5.215, -1.36]",0,9
38,30-May-1979,39,-5.2,0,123.42,"(-5.215, -1.36]",0,9
39,31-May-1979,40,-5.2,0,124.1,"(-5.215, -1.36]",0,9
40,2-June-1979,41,-5.2,0,123.86,"(-5.215, -1.36]",0,9
41,4-June-1979,42,-5.2,0,124.49,"(-5.215, -1.36]",0,9
42,5-June-1979,43,-5.2,0,125.86,"(-5.215, -1.36]",0,9
43,6-June-1979,44,-5.2,0,127.02,"(-5.215, -1.36]",0,9
44,7-June-1979,45,-5.2,0,128.34,"(-5.215, -1.36]",0,9
45,8-June-1979,46,-5.2,0,128.4,"(-5.215, -1.36]",0,9
46,12-June-1979,47,-5.2,0,129.74,"(-5.215, -1.36]",0,9
47,13-June-1979,48,-5.2,0,129.19,"(-5.215, -1.36]",0,9
48,14-June-1979,49,-5.2,0,130.24,"(-5.215, -1.36]",0,9
49,15-June-1979,50,-5.2,0,130.22,"(-5.215, -1.36]",0,9
50,16-June-1979,51,-5.2,0,131.59,"(-5.215, -1.36]",0,9
51,18-June-1979,52,-5.2,0,128.82,"(-5.215, -1.36]",0,9
52,19-June-1979,53,-5.2,0,128.82,"(-5.215, -1.36]",0,9
53,20-June-1979,54,-5.2,0,126.98,"(-5.215, -1.36]",0,9
54,21-June-1979,55,-5.2,0,127.36,"(-5.215, -1.36]",0,9
55,22-June-1979,56,-5.2,0,127.46,"(-5.215, -1.36]",0,9
56,26-June-1979,57,-5.2,0,124.28,"(-5.215, -1.36]",0,9
57,27-June-1979,58,-5.2,0,124.53,"(-5.215, -1.36]",0,9
58,28-June-1979,59,-5.2,0,127.72,"(-5.215, -1.36]",0,9
59,29-June-1979,60,-5.2,0,125.41,"(-5.215, -1.36]",0,9
60,2-July-1979,61,-5.2,0,125.26,"(-5.215, -1.36]",0,9
61,3-July-1979,62,-5.2,0,124.71,"(-5.215, -1.36]",0,9
62,4-July-1979,63,-5.2,0,123.61,"(-5.215, -1.36]",0,9
63,5-July-1979,64,-5.2,0,124.29,"(-5.215, -1.36]",0,9
64,6-July-1979,65,-5.2,0,122.28,"(-5.215, -1.36]",0,9
65,10-July-1979,66,-5.2,0,121.5,"(-5.215, -1.36]",0,9
66,11-July-1979,67,-5.2,0,120.87,"(-5.215, -1.36]",0,9
67,12-July-1979,68,-5.2,0,118.31,"(-5.215, -1.36]",0,9
68,13-July-1979,69,-5.2,0,120.48,"(-5.215, -1.36]",0,9
69,14-July-1979,70,-5.2,0,120.24,"(-5.215, -1.36]",0,9
70,16-July-1979,71,-5.2,0,120.27,"(-5.215, -1.36]",0,9
71,17-July-1979,72,-5.2,0,120.08,"(-5.215, -1.36]",0,9
72,18-July-1979,73,-5.2,0,120.42,"(-5.215, -1.36]",0,9
73,19-July-1979,74,-5.2,0,119.84,"(-5.215, -1.36]",0,9
74,20-July-1979,75,-5.2,0,119.88,"(-5.215, -1.36]",0,9
75,24-July-1979,76,-5.2,0,119.59,"(-5.215, -1.36]",0,9
76,25-July-1979,77,-5.2,0,120.26,"(-5.215, -1.36]",0,9
77,26-July-1979,78,-5.2,0,119.61,"(-5.215, -1.36]",0,9
78,27-July-1979,79,-5.2,0,117.94,"(-5.215, -1.36]",0,9
79,28-July-1979,80,-5.2,0,118.18,"(-5.215, -1.36]",0,9
80,30-July-1979,81,-5.2,0,116.6,"(-5.215, -1.36]",0,9
81,31-July-1979,82,-5.2,0,115.86,"(-5.215, -1.36]",0,9
82,1-August-1979,83,-5.2,0,115.77,"(-5.215, -1.36]",0,9
83,2-August-1979,84,-5.2,0,114.14,"(-5.215, -1.36]",0,9
84,3-August-1979,85,-5.2,0,113.79,"(-5.215, -1.36]",0,9
85,8-August-1979,86,-5.2,0,117.14,"(-5.215, -1.36]",0,9
86,9-August-1979,87,-5.2,0,116.05,"(-5.215, -1.36]",0,9
87,10-August-1979,88,-5.2,0,116.16,"(-5.215, -1.36]",0,9
88,11-August-1979,89,-5.2,0,116.1,"(-5.215, -1.36]",0,9
89,13-August-1979,90,-5.2,0,115.56,"(-5.215, -1.36]",0,9
90,14-August-1979,91,-5.2,0,114.62,"(-5.215, -1.36]",0,9
91,16-August-1979,92,-5.2,0,115.32,"(-5.215, -1.36]",0,9
92,17-August-1979,93,-5.2,0,115.93,"(-5.215, -1.36]",0,9
93,21-August-1979,94,-5.2,0,116.96,"(-5.215, -1.36]",0,9
94,22-August-1979,95,-5.2,0,115.45,"(-5.215, -1.36]",0,9
95,23-August-1979,96,-5.2,0,114.88,"(-5.215, -1.36]",0,9
96,24-August-1979,97,-5.2,0,115.5,"(-5.215, -1.36]",0,9
97,28-August-1979,98,-5.2,0,115.38,"(-5.215, -1.36]",0,9
98,29-August-1979,99,-5.2,0,115.5,"(-5.215, -1.36]",0,9
99,30-August-1979,100,-5.2,0,116.16,"(-5.215, -1.36]",0,9
100,31-August-1979,101,-5.2,0,116.11,"(-5.215, -1.36]",0,9
101,4-September-1979,102,-5.2,0,117.27,"(-5.215, -1.36]",0,9
102,5-September-1979,103,-5.2,0,117.27,"(-5.215, -1.36]",0,9
103,6-September-1979,104,-5.2,0,117.38,"(-5.215, -1.36]",0,9
104,7-September-1979,105,-5.2,0,117.98,"(-5.215, -1.36]",0,9
105,8-September-1979,106,-5.2,0,118.76,"(-5.215, -1.36]",0,9
106,10-September-1979,107,-5.2,0,119.25,"(-5.215, -1.36]",0,9
107,11-September-1979,108,-5.2,0,119.77,"(-5.215, -1.36]",0,9
108,12-September-1979,109,-5.2,0,119.42,"(-5.215, -1.36]",0,9
109,13-September-1979,110,-5.2,0,118.46,"(-5.215, -1.36]",0,9
110,14-September-1979,111,-5.2,0,118.28,"(-5.215, -1.36]",0,9
111,18-September-1979,112,-5.2,0,119.24,"(-5.215, -1.36]",0,9
112,19-September-1979,113,-5.2,0,118.56,"(-5.215, -1.36]",0,9
113,20-September-1979,114,-5.2,0,117.8,"(-5.215, -1.36]",0,9
114,21-September-1979,115,-5.2,0,118.31,"(-5.215, -1.36]",0,9
115,22-September-1979,116,-5.2,0,118.45,"(-5.215, -1.36]",0,9
116,24-September-1979,117,-5.2,0,118.51,"(-5.215, -1.36]",0,9
117,25-September-1979,118,-5.2,0,119.31,"(-5.215, -1.36]",0,9
118,26-September-1979,119,-5.2,0,119.77,"(-5.215, -1.36]",0,9
119,27-September-1979,120,-5.2,0,120.05,"(-5.215, -1.36]",0,9
120,28-September-1979,121,-5.2,0,119.64,"(-5.215, -1.36]",0,9
121,3-October-1979,122,-5.2,0,119.74,"(-5.215, -1.36]",0,9
122,4-October-1979,123,-5.2,0,119.01,"(-5.215, -1.36]",0,9
123,5-October-1979,124,-5.2,0,119.45,"(-5.215, -1.36]",0,9
124,6-October-1979,125,-5.2,0,119.94,"(-5.215, -1.36]",0,9
125,10-October-1979,126,-5.2,0,120.74,"(-5.215, -1.36]",0,9
126,11-October-1979,127,-5.2,0,118.85,"(-5.215, -1.36]",0,9
127,12-October-1979,128,-5.2,0,119.58,"(-5.215, -1.36]",0,9
128,16-October-1979,129,-5.2,0,120.58,"(-5.215, -1.36]",0,9
129,17-October-1979,130,-5.2,0,121.35,"(-5.215, -1.36]",0,9
130,20-October-1979,131,-5.2,0,122.93,"(-5.215, -1.36]",0,9
131,23-October-1979,132,-5.2,0,122.35,"(-5.215, -1.36]",0,9
132,24-October-1979,133,-5.2,0,123.08,"(-5.215, -1.36]",0,9
133,25-October-1979,134,-5.2,0,123.52,"(-5.215, -1.36]",0,9
134,27-October-1979,135,-5.2,0,124.23,"(-5.215, -1.36]",0,9
135,30-October-1979,136,-5.2,0,124.3,"(-5.215, -1.36]",0,9
136,31-October-1979,137,-5.2,0,123.85,"(-5.215, -1.36]",0,9
137,2-November-1979,138,-5.2,0,123.27,"(-5.215, -1.36]",0,9
138,3-November-1979,139,-5.2,0,122.53,"(-5.215, -1.36]",0,9
139,5-November-1979,140,-5.2,0,123.1,"(-5.215, -1.36]",0,9
140,6-November-1979,141,-5.2,0,122.64,"(-5.215, -1.36]",0,9
141,7-November-1979,142,-5.2,0,122.52,"(-5.215, -1.36]",0,9
142,8-November-1979,143,-5.2,0,121.92,"(-5.215, -1.36]",0,9
143,9-November-1979,144,-5.2,0,121.48,"(-5.215, -1.36]",0,9
144,13-November-1979,145,-5.2,0,121.74,"(-5.215, -1.36]",0,9
145,14-November-1979,146,-5.2,0,120.2,"(-5.215, -1.36]",0,9
146,15-November-1979,147,-5.2,0,120.42,"(-5.215, -1.36]",0,9
147,16-November-1979,148,-5.2,0,118.42,"(-5.215, -1.36]",0,9
148,17-November-1979,149,-5.2,0,119.02,"(-5.215, -1.36]",0,9
149,19-November-1979,150,-5.2,0,118.33,"(-5.215, -1.36]",0,9
